company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_score,daily_rank,difficulty_class
OO,4792,2025-08-04,ORD,ROA,0.2979492494605338,308.0,Easy
UA,920,2025-08-03,ORD,LHR,0.29277870596976757,445.0,Medium
UA,1776,2025-08-10,ORD,PHL,0.33801020790392694,196.0,Easy
OO,5790,2025-08-06,ORD,CRW,0.3695338713764211,93.0,Easy
UA,1398,2025-08-05,ORD,ATL,0.3020233826615791,374.0,Easy
OO,5470,2025-08-07,ORD,GEG,0.3194062958592197,357.0,Easy
UA,374,2025-08-15,ORD,MSP,0.33614470252997947,151.0,Easy
UA,1577,2025-08-15,ORD,SFO,0.34325899140452115,128.0,Easy
UA,881,2025-08-03,ORD,HND,0.42463788070056774,11.0,Easy
UA,2006,2025-08-09,ORD,GUA,0.3226642992879685,277.0,Easy
UA,307,2025-08-14,ORD,COS,0.24959536341117378,496.0,Difficult
UA,1538,2025-08-08,ORD,SAV,0.33887186577200024,252.0,Easy
UA,1006,2025-08-02,ORD,LGA,0.3373003606877629,375.0,Easy
G7,4395,2025-08-14,ORD,TVC,0.34800015373611626,105.0,Easy
UA,1538,2025-08-06,ORD,SAV,0.2793795943338551,411.0,Medium
UA,2138,2025-08-08,ORD,LGA,0.2773694141769924,471.0,Medium
G7,4481,2025-08-15,ORD,GRR,0.3268717569485249,195.0,Easy
OO,5108,2025-08-14,ORD,SLN,0.25838604355974426,477.0,Medium
YX,3568,2025-08-15,ORD,YYZ,0.27559258604298403,404.0,Easy
OO,4739,2025-08-03,ORD,GRB,0.35396119679398813,173.0,Easy
UA,664,2025-08-02,ORD,LGA,0.30306150958223615,457.0,Medium
OO,5517,2025-08-04,ORD,PVD,0.33871945045213064,115.0,Easy
UA,1156,2025-08-08,ORD,MSY,0.3946120168033108,51.0,Easy
G7,4387,2025-08-06,ORD,CID,0.40855585358950364,22.0,Easy
UA,1361,2025-08-11,ORD,STL,0.4046507092862133,25.0,Easy
UA,2323,2025-08-03,ORD,MCO,0.38813727652713326,38.0,Easy
OO,5229,2025-08-13,ORD,ILM,0.21511542537249972,486.0,Medium
YX,3700,2025-08-02,ORD,BNA,0.5536546644579933,3.0,Easy
G7,4610,2025-08-15,ORD,XNA,0.32598390502070484,199.0,Easy
UA,1414,2025-08-13,ORD,BOI,0.3181366871123278,252.0,Easy
UA,1156,2025-08-13,ORD,MSY,0.16566955836609149,514.0,Difficult
UA,247,2025-08-13,ORD,OMA,0.26372848896565454,432.0,Medium
UA,2378,2025-08-08,ORD,LAX,0.42996665235032827,13.0,Easy
OO,5930,2025-08-14,ORD,FAR,0.29689488196849095,339.0,Easy
YX,3628,2025-08-11,ORD,IND,0.3072727068130473,391.0,Easy
OO,5564,2025-08-01,ORD,SBN,0.3977735170661617,74.0,Easy
UA,2361,2025-08-13,ORD,LAX,0.1855812248764502,507.0,Difficult
YX,3520,2025-08-05,ORD,CVG,0.2846185803647415,424.0,Medium
G7,4546,2025-08-06,ORD,AVP,0.3173106851927148,275.0,Easy
OO,5362,2025-08-14,ORD,MKE,0.35615981301508726,80.0,Easy
OO,5251,2025-08-03,ORD,ASE,0.28557488709533585,461.0,Medium
G7,4429,2025-08-07,ORD,FSD,0.35838666058989727,175.0,Easy
UA,1899,2025-08-01,ORD,YYC,0.38629514723226127,115.0,Easy
UA,2137,2025-08-03,ORD,SLC,0.35669966679008985,161.0,Easy
UA,1576,2025-08-10,ORD,LGA,0.28145884085559375,464.0,Medium
UA,2004,2025-08-11,ORD,SYR,0.39915737889730224,33.0,Easy
UA,343,2025-08-02,ORD,SFO,0.3377911221415311,373.0,Easy
UA,2370,2025-08-11,ORD,BOS,0.3497132228558284,195.0,Easy
UA,2189,2025-08-01,ORD,LGA,0.2659466621710012,534.0,Difficult
UA,481,2025-08-12,ORD,RNO,0.25979571377827676,355.0,Easy
UA,1209,2025-08-15,ORD,EWR,0.380397735460052,28.0,Easy
UA,2177,2025-08-15,ORD,MSN,0.4398145148620403,7.0,Easy
UA,909,2025-08-13,ORD,AMS,0.3415802587928393,147.0,Easy
UA,1584,2025-08-05,ORD,LAX,0.3452087124636362,195.0,Easy
YX,3690,2025-08-13,ORD,IND,0.3070817612799145,296.0,Easy
YX,3542,2025-08-15,ORD,YUL,0.3255902833518307,201.0,Easy
OO,4791,2025-08-14,ORD,SBN,0.36697255665234857,56.0,Easy
UA,2011,2025-08-11,ORD,YVR,0.35371593680050073,183.0,Easy
UA,1946,2025-08-15,ORD,LGA,0.28235166595964,381.0,Easy
OO,5292,2025-08-02,ORD,MTY,0.2633740841394182,504.0,Difficult
UA,845,2025-08-12,ORD,GRU,0.3687791032946913,37.0,Easy
YX,3525,2025-08-13,ORD,YYZ,0.31475699942865093,268.0,Easy
UA,2677,2025-08-06,ORD,IAD,0.27552614452067026,418.0,Medium
UA,767,2025-08-13,ORD,DEN,0.3235386241006125,230.0,Easy
OO,5026,2025-08-13,ORD,JST,0.26100444739167844,436.0,Medium
OO,5493,2025-08-05,ORD,ATW,0.34585194622563686,192.0,Easy
G7,4519,2025-08-06,ORD,SCE,0.306719520025207,322.0,Easy
OO,4791,2025-08-04,ORD,SBN,0.3265689797412401,171.0,Easy
UA,592,2025-08-03,ORD,JAC,0.3741433359318771,83.0,Easy
G7,4590,2025-08-01,ORD,MDT,0.36568366052290086,207.0,Easy
YX,3464,2025-08-13,ORD,PIT,0.32012723282625377,243.0,Easy
OO,5963,2025-08-14,ORD,BDL,0.30729188568366755,279.0,Easy
OO,5447,2025-08-10,ORD,PVD,0.3204010508402961,285.0,Easy
